id,"Alkalinity, total",Calcium,Chloride,Fluoride,Magnesium,Nitrate as N,Sodium,Specific Conductivity,Sulfate,Total Dissolved Solids,Hardness
6670,210.0,40.0,20.0,0.19,26.0,0.1,31.0,550.0,60.0,340.0,213.7959446471583
6671,180.0,51.5,27.0,0.32,14.1,2.38,32.7,600.0,79.6,384.0,194.6935656689193
6672,260.0,84.0,190.0,0.21,44.0,1.8,68.0,770.0,28.0,550.0,399.61863689088693
6673,220.0,139.0,60.0,0.6,52.0,5.4,102.0,1410.0,416.0,1000.0,568.4043200826952
6674,150.0,32.0,14.0,0.2,8.7,7.3,45.0,520.0,54.0,340.0,170.57659712925965
6675,180.0,34.0,21.0,0.1,25.0,2.7,23.0,420.0,6.9,270.0,186.581346015096
6676,160.0,55.0,90.0,0.4,22.0,0.5,99.0,960.0,170.0,620.0,226.48418768589255
6677,220.0,59.0,55.0,0.37,19.0,13.0,44.0,700.0,29.0,440.0,227.58984584004875
6678,130.0,33.0,9.0,0.11,14.0,4.7,12.0,320.0,5.6,240.0,137.62016888666892
6679,81.0,200.0,290.0,0.1,19.0,1.4,51.0,1500.0,200.0,1000.0,585.6124975302473
6680,150.0,57.0,14.0,0.11,5.8,1.919,26.0,431.0,26.0,240.0,164.50700055433452
6681,98.0,43.0,180.0,0.14,19.0,0.34,21.0,380.0,2.4,410.0,179.37943641734088
6682,66.0,14.0,37.0,0.1,8.7,0.78,24.0,260.0,5.6,140.0,67.92504244366746
6683,280.0,81.0,35.0,0.17,51.0,1.9,39.0,840.0,150.0,560.0,400.66777669552687
6684,120.0,22.0,40.0,0.25,16.0,1.5,37.0,410.0,8.1,270.0,129.20719223554224
6685,120.0,31.0,32.0,0.4,15.0,0.54,47.0,460.0,68.0,300.0,148.14314430291938
6686,230.0,41.0,11.0,0.32,20.0,2.51,39.0,550.0,40.0,350.0,187.4790706793206
6687,100.0,27.0,6.5,0.55,4.5,0.88,25.0,270.0,18.0,160.0,89.45719363192364
6688,270.0,46.7,13.0,0.76,13.5,2.3,67.2,620.0,33.0,440.0,184.001718122678
6689,45.0,40.0,11.0,0.7,5.2,2.6,100.0,960.0,100.0,740.0,120.94999314518813
6690,190.0,47.7,10.8,0.1,12.0,4.02,27.0,310.0,20.1,257.0,165.2880411616161
6691,260.0,77.0,9.5,0.62,21.0,0.93,22.0,580.0,43.0,340.0,281.9467852786103
6692,170.0,35.0,44.0,0.16,32.0,0.56,41.0,620.0,25.0,310.0,226.96446398133733
6693,125.0,28.0,7.7,0.14,17.0,1.86,14.4,317.0,14.5,197.0,133.88566925296925
6694,110.0,15.0,6.5,0.14,8.4,3.4,16.0,200.0,3.8,200.0,78.95365219641468
6695,92.0,13.0,8.0,0.54,1.4,1.9,41.0,240.0,8.3,130.0,35.01010569985571
6696,182.0,44.3,8.9,0.1,19.0,5.4,20.2,425.0,28.2,290.0,186.93104846597842
6697,277.0,61.0,119.0,0.52,26.0,0.1,96.0,890.0,43.0,588.0,261.5067340710678
6698,79.0,23.0,9.8,0.24,3.4,1.2,14.0,224.0,9.0,110.0,75.90184369111283
6699,160.0,56.0,56.0,0.2,18.0,1.8,47.0,590.0,87.0,470.0,214.35623530164273
6700,280.0,50.0,24.0,0.12,31.0,5.9,28.0,700.0,17.0,370.0,255.12092167388172
6701,160.0,63.0,46.0,0.12,23.0,2.1,20.0,520.0,49.0,310.0,246.8109315684316
6702,318.0,260.0,416.0,0.82,73.0,3.82,240.0,2920.0,590.0,500.0,671.7543294483294
6703,170.0,66.0,39.0,2.2,18.0,11.0,20.0,800.0,120.0,520.0,260.5042556277056
6704,160.0,45.0,2.6,0.1,8.0,0.47,11.0,345.0,7.8,220.0,142.75160085820616
6705,148.0,22.0,9.0,0.1,23.0,2.9,24.0,350.0,7.9,280.0,134.63550457875456
6706,120.0,26.0,20.0,0.49,13.0,0.75,54.0,320.0,19.0,190.0,114.82800109570984
6707,160.0,68.0,62.0,0.2,25.0,0.75,47.0,730.0,110.0,530.0,276.0048432428681
6708,76.1,26.4,7.95,0.147,3.16,0.225,13.4,199.0,11.3,122.0,74.78690196914198
6709,390.0,76.0,69.0,0.25,52.0,4.0,50.0,1100.0,62.0,540.0,397.4498877233878
6710,38.0,4.9,2.3,0.2,4.19,1.16,9.8,115.0,4.8,97.0,28.792179531579528
6711,160.0,23.0,24.0,1.7,13.0,1.4,120.0,780.0,190.0,490.0,144.51874975013877
6712,160.0,86.0,43.0,0.2,34.0,5.3,52.0,859.0,269.0,640.0,354.9455887793041
6713,176.0,83.8,93.7,0.48,16.7,2.8,77.7,550.0,96.4,400.0,264.056914490676
6714,260.0,110.0,60.0,0.14,25.0,6.5974,29.0,780.0,38.0,480.0,354.33265341880343
6715,80.9,19.6,10.5,0.166,4.1,0.6,4.0,374.0,21.9,176.0,73.71534997502495
6716,180.0,110.0,79.0,0.5,38.0,2.85,61.0,1470.0,188.0,700.0,425.6222826479076
6717,88.4,21.3,28.3,0.59,5.7,0.5,46.4,384.0,49.1,206.0,82.77924427516926
6718,120.0,29.0,8.2,0.11,16.0,7.9,20.0,350.0,21.0,260.0,139.5259949272949
6719,158.0,41.0,41.0,0.4,16.0,0.6,55.0,540.0,65.0,392.0,173.2501928137222
6720,180.0,174.0,53.4,0.357,51.4,3.94,88.0,1200.0,586.0,986.0,581.3691277056278
6721,190.0,40.0,14.0,0.11,22.0,3.8,23.0,400.0,16.0,280.0,191.00816500721496
6722,60.0,15.0,14.0,0.16,9.5,1.3,15000.0,230.0,2.0,230.0,85.38205679288032
6723,210.0,17.0,46.0,0.3,11.0,0.79,72.0,657.0,64.0,410.0,116.36008347763341
6724,40.0,51.0,77.0,0.2,0.17,5.7,82.0,666.0,120.0,410.0,94.5467534060384
6725,140.0,27.6,6.2,0.11,11.0,1.2,19.0,282.0,4.8,190.0,114.89712050727054
6726,125.0,18.4,20.5,0.755,4.03,0.376,44.1,340.0,16.0,240.0,66.62255513653012
6727,240.0,98.0,170.0,0.13,49.0,1.6,98.0,1200.0,140.0,780.0,421.49644445554424
6728,84.0,23.0,5.4,0.15,3.9,0.416,19.0,212.0,18.0,140.0,74.51050045656959
6729,210.0,90.0,25.0,0.18,29.0,18.1,37.0,818.0,127.0,660.0,345.39386002172824
6730,200.0,55.0,28.0,0.95,16.0,7.5,49.0,560.0,22.0,370.0,192.80114710622703
6731,80.0,29.0,42.0,0.57,3.4,0.29,26.0,290.0,9.8,170.0,90.35432894139194
6732,260.0,92.0,43.0,0.19,24.0,5.236,29.0,700.0,42.0,420.0,313.24103096892
6733,180.0,18.0,88.0,8.7,1.9,3.4,170.0,920.0,150.0,600.0,96.22673593584193
6734,34.4,24.0,18.1,0.348,2.8,0.59,6.7,179.0,1.7,120.0,58.47051404151404
6735,110.0,34.0,8.4,0.25,6.0,2.7,24.0,275.0,8.2,200.0,107.20418005605505
6736,130.0,33.0,19.0,2.5,8.0,4.3,31.0,380.0,17.0,230.0,121.2498045043192
6737,170.0,30.0,75.0,1.1,8.6,0.47,130.0,803.0,90.0,570.0,124.73917988808417
6738,36.0,4.4,2.0,0.15,2.5,0.95,2.8,81.0,0.63,78.0,26.163389124927367
6739,147.0,12.2,13.0,0.2,5.9,3.1,48.0,330.0,3.9,213.0,73.56217032967032
6740,100.0,32.0,58.0,0.21,7.5,2.1,30.0,470.0,6.0,310.0,119.02317704517709
6741,164.0,65.0,52.0,0.3,13.0,0.2,34.0,470.0,41.0,363.0,205.5880778860029
6742,150.0,33.0,12.0,0.11,17.0,4.8,26.0,400.0,12.0,280.0,151.63867996137847
6743,300.0,64.0,123.0,0.4,73.0,3.4,72.0,1080.0,116.0,670.0,449.64414749694754
6744,50.0,9.0,8.0,0.2,2.0,6.4,26.0,200.0,3.0,130.0,32.099773637473646
6745,107.0,20.4,3.7,0.1,6.88,0.5,16.2,221.0,1.9,148.0,84.33741726467979
6746,100.0,23.0,46.0,0.13,5.8,3.8,62.0,450.0,8.1,220.0,88.90373744588747
6747,94.0,39.0,26.0,0.12,4.6,0.69,13.0,320.0,15.0,200.0,107.9144333055833
6748,46.0,24.0,77.0,0.22,0.16,9.7,110.0,640.0,99.0,400.0,62.36637514707515
6749,170.0,23.0,7.0,0.31,18.0,0.61,19.0,350.0,6.1,240.0,129.59016189366181
6750,170.0,39.0,18.0,0.1,20.0,2.3,19.0,440.0,15.0,310.0,185.04764577089577
6751,130.0,31.0,210.0,0.28,71.0,8.6,90.0,1400.0,41.0,610.0,408.22467339188603
6752,260.0,65.0,15.0,0.8,24.0,1.1,46.0,620.0,195.0,610.0,271.2147193362193
6753,88.0,16.0,3.8,0.16,8.1,2.5,11.0,210.0,4.6,160.0,78.04633849206347
6754,220.0,140.0,56.0,0.22,61.0,5.2,71.0,1400.0,460.0,960.0,565.9351748001998
6755,200.0,120.0,45.0,0.3,57.0,8.4,55.0,1100.0,360.0,850.0,512.1221243756244
6756,320.0,173.0,100.0,0.11,34.0,47.4,69.0,1200.0,58.0,828.0,549.5362258297256
6757,160.0,77.0,15.0,0.33,7.9,5.0,32.0,551.0,82.0,370.0,211.7189287916201
6758,260.0,202.0,67.0,0.61,73.0,7.1,130.0,2200.0,760.0,1600.0,782.6647498612499
6759,111.0,35.8,1.38,0.203,4.0,0.4,15.0,312.0,10.2,140.0,104.13453105339102
6760,120.0,43.0,16.0,0.56,6.2,0.86,30.0,380.0,38.0,240.0,130.56872302697303
6761,200.0,51.0,11.0,0.13,19.0,2.2,12.0,410.0,4.8,260.0,206.95759403929395
6762,160.0,39.0,9.4,0.36,11.0,3.2,28.0,395.0,15.0,290.0,148.64206926406928
6763,130.0,57.0,26.0,0.72,12.0,1.1,86.0,820.0,240.0,530.0,196.36778843539793
6764,83.0,15.0,7.3,0.53,9.0,0.52,16.0,180.0,11.0,110.0,80.587550002775
6765,330.0,150.0,310.0,0.31,56.0,0.82,160.0,1800.0,190.0,1100.0,611.0278709914269
6766,93.0,16.0,96.0,0.25,9.0,0.9,103.0,690.0,18.0,400.0,124.82241310189815
6767,190.0,12.0,3.8,0.41,22.0,0.17,45.0,374.0,7.5,220.0,130.87537454212455
6768,32.0,4.2,5.2,0.22,2.0,2.0,9.5,120.0,10.0,150.0,21.306777314352324
6769,390.0,74.0,72.0,0.17,51.0,7.7,67.0,1000.0,44.0,580.0,396.22992242985777
6770,277.0,220.0,100.0,0.52,82.0,3.6,49.0,1960.0,915.0,1989.0,908.7283713508713
6771,270.0,10.0,68.0,0.5,7.0,0.4,158.0,878.0,41.6,460.0,152.18798249999995
6772,134.0,37.0,49.7,0.13,13.4,0.66,101.0,802.0,181.0,510.0,155.76550488400488
6773,130.0,39.0,45.0,0.1,12.0,4.7,33.0,445.0,18.3,330.0,148.27203192640698
6774,357.0,144.5,47.4,0.1,43.0,5.8,37.0,230.0,21.1,561.0,464.51812867687886
6775,190.0,64.0,83.1,0.19,27.0,0.544,62.68,810.0,73.3,440.0,272.58957516095023
6776,150.0,36.0,3.4,0.1,6.7,1.1,17.0,290.0,6.4,200.0,116.1178478882229
6777,180.0,44.0,19.0,0.14,84.0,0.2,24.0,1700.0,30.0,840.0,448.92178450854715
6778,240.0,209.0,120.0,0.1,44.0,58.2,61.0,1700.0,160.0,1300.0,720.5510607170607
6779,90.0,38.0,31.0,0.1,12.0,5.0,25.0,388.0,8.0,250.0,142.85148305583306
6780,250.0,95.9,36.0,0.53,25.8,6.6,34.0,730.0,76.0,490.0,338.51640826073924
6781,91.0,64.0,96.0,1.1,9.8,2.5,130.0,930.0,200.0,580.0,201.69536943029195
6782,84.1,21.0,18.1,0.28,4.9,1.67,24.8,274.0,8.7,213.0,75.38392995892994
6783,89.0,30.0,19.0,1.0,6.1,6.6,32.0,346.0,20.0,270.0,99.09224574370077
6784,160.0,32.0,34.0,0.12,15.717,1.0,45.0,530.0,14.0,300.0,151.58238331113336
6785,89.0,26.0,27.0,0.1,14.0,0.52,15.0,290.0,2.8,210.0,122.74080245310242
6786,145.0,39.7,15.1,0.35,8.1,0.44,38.1,406.0,38.4,282.0,143.52669127930892
6787,310.8,60.8,137.0,0.1,11.0,7.77,180.0,1179.0,36.8,765.0,198.6800478537802
6788,170.0,40.0,53.5,0.1,31.0,4.26,17.0,550.0,18.4,270.0,212.74869020965153
6789,170.0,107.0,54.0,0.17,16.0,15.0,30.0,811.0,94.7,515.0,318.71859598734596
6790,260.0,96.0,47.0,0.24,43.0,4.8,41.0,920.0,180.0,600.0,398.91361818181815
6791,78.0,47.6,61.0,0.11,68.1,1.9,44.0,840.0,8.2,787.0,387.3453023976025
6792,210.0,11.0,61.0,0.5,8.0,2.2,147.0,777.0,26.0,440.0,80.0636057142857
6793,180.0,52.0,16.0,0.1,7.0,3.2,24.0,392.0,14.0,221.0,166.42269378791144
6794,120.0,8.1,110.0,4.0,1.2,2.0,160.0,840.0,140.0,580.0,40.85801961698434
6795,62.0,6.9,4.2,0.13,0.27,0.63,24.0,150.0,4.1,87.0,23.398780572205577
6796,140.0,40.0,4.9,0.2,7.6,1.9,23.0,360.0,14.0,230.0,134.14982271967799
6797,270.0,150.0,250.0,0.066,27.0,3.3,84.0,1980.0,13.0,1700.0,510.40321083916075
6798,110.0,15.0,10.0,2.8,1.8,2.7,54.0,280.0,13.0,190.0,52.452304881229885
6799,180.0,88.0,70.0,0.36,15.0,5.1,73.0,810.0,140.0,530.0,279.34361736136077
6800,190.0,56.0,25.0,0.12,21.0,5.0857,28.0,500.0,26.208,290.0,213.9171849696137
6801,120.0,46.0,3.1,0.17,2.2,0.1,11.0,250.0,11.0,160.0,109.64945807803308
6802,130.0,23.0,16.0,0.17,16.0,2.3,18.0,330.0,6.7,230.0,128.03111863136866
6803,350.0,93.0,44.0,1.6,42.0,4.3,100.0,1200.0,230.0,750.0,397.31739432234434
6804,161.0,71.0,67.6,0.2,11.7,1.2,98.0,504.0,23.7,730.0,236.4686500304141
6805,150.0,49.0,11.0,2.6,13.0,0.51,17.0,400.0,40.0,250.0,177.37802876887002
6806,200.0,142.0,55.0,0.7,49.0,2.5,97.0,1400.0,630.0,1000.0,555.9406224747476
6807,110.0,21.0,4.2,0.1,10.0,1.1,17.0,250.0,5.6,200.0,94.29865864690865
6808,410.0,41.0,51.0,0.13,30.0,0.72,25.0,600.0,37.0,360.0,235.52381199927845
6809,120.0,20.0,6.5,0.11,17.0,2.3,21.0,310.0,7.4,190.0,117.61047938172938
6810,170.0,110.0,36.0,0.114,18.0,19.4,24.1,660.0,63.3,453.0,305.83416823372704
6811,64.0,12.0,16.0,0.18,0.22,1.1,42.0,223.0,15.0,140.0,30.45013255355755
6812,130.0,39.0,220.0,0.64,27.0,2.3,130.0,1000.0,16.0,640.0,208.5030877222777
6813,210.0,19.0,35.0,0.4,14.0,0.5,82.0,591.0,38.9,370.0,115.56435457348205
6814,120.0,39.0,28.3,0.32,13.0,0.06,36.0,494.0,58.0,278.0,150.92765402097902
6815,210.0,81.0,81.0,0.1,26.0,4.8,69.0,956.0,110.0,619.0,312.5616623141997
6816,200.0,128.0,71.0,0.7,49.0,1.7,88.0,1330.0,550.0,950.0,535.3015018148518
6817,220.0,71.0,21.0,0.38,26.398,1.6,30.166,660.0,110.0,410.0,270.0477049395049
6818,110.0,71.0,34.0,0.5,16.0,0.72,51.0,670.0,190.0,460.0,253.72230600122103
6819,89.0,29.0,60.0,0.34,1.2,1.9,64.0,480.0,32.0,280.0,68.509847999223
6820,140.0,41.0,5.7,0.18,5.2,2.5,20.0,300.0,14.0,220.0,127.14643241203244
6821,90.0,26.0,4.4,0.055,4.9,3.0,11.0,217.0,7.6,130.0,82.71237785139697
6822,86.0,17.6,6.32,0.322,2.64,0.42,57.5,399.0,55.2,283.0,56.425995213120224
6823,160.0,57.0,20.0,0.15,17.0,7.9,10.0,470.0,20.0,300.0,212.188092024642
6824,280.0,110.0,120.0,0.4,20.0,3.4,84.0,1000.0,100.0,660.0,362.91930006105
6825,87.0,21.0,11.0,0.18,5.7,2.6,23.0,250.0,7.9,190.0,80.80763478188481
6826,230.0,74.0,14.0,0.26,15.0,3.9,11.0,520.0,30.0,310.0,249.78125449550444
6827,240.0,34.0,11.0,0.19,17.0,2.8,38.0,530.0,45.0,360.0,170.11002172827168
6828,270.0,84.0,35.0,0.3,27.0,1.7,53.0,881.0,111.0,550.0,318.8468498006298
6829,110.0,32.0,19.0,0.56,5.7,3.2,29.0,330.0,21.0,220.0,108.79347711524584
6830,270.0,59.0,31.0,0.22,26.0,0.2,40.0,610.0,34.0,380.0,246.31652671175402
6831,100.0,19.0,1.1,0.11,5.8,0.1,4.4,190.0,0.9,110.0,93.80991745476747
6832,120.0,26.0,5.7,0.1,14.0,3.71,13.1,309.0,14.2,198.0,128.49110884948385
6833,130.0,56.0,9.2,0.28,15.0,0.2,20.0,890.0,82.0,300.0,222.66062375416263
6834,140.0,42.0,32.0,0.12,5.4,0.28,3.1,520.0,15.0,220.0,130.04545155400152
6835,140.0,63.0,120.0,0.31,17.0,5.1,77.0,910.0,110.0,460.0,226.9843378869741
6836,270.0,110.0,87.0,0.14,39.0,36.0,65.0,900.0,54.0,660.0,420.36236366411356
6837,290.0,34.0,12.0,0.14,6.7,4.1,21.0,580.0,13.0,210.0,132.64683193473195
6838,220.0,57.0,20.0,0.58,11.0,0.99,46.0,540.0,35.0,320.0,183.8496762237762
6839,120.0,17.0,9.2,0.13,8.0,4.3,33.0,290.0,4.3,190.0,75.58952525391271
6840,320.0,133.0,910.0,0.2,195.0,2.6,138.0,2960.0,25.0,1490.0,955.9036746864248
6841,120.0,54.0,74.0,0.3,20.0,0.32,100.0,760.0,180.0,500.0,202.7959840091249
6842,340.0,110.0,37.0,0.13,29.0,0.75,47.0,870.0,87.0,560.0,388.71003563103574
6843,300.0,70.0,120.0,0.27,79.0,5.4,135.0,1400.0,320.0,931.0,524.3578395188146
6844,160.0,39.0,5.7,0.4,12.0,0.91,32.0,400.0,46.0,270.0,146.58873438228437
6845,290.0,110.0,70.0,0.16,26.0,6.9579,38.0,890.0,45.0,500.0,372.41099728049716
6846,142.0,40.0,13.0,0.2,11.0,0.1,18.0,388.0,42.0,228.0,154.11516005661005
6847,108.2,17.7,13.9,0.1,5.9,4.9,14.0,283.0,2.4,152.0,78.53387036297036
6848,112.0,76.0,89.0,0.4,30.0,16.0,97.0,1035.0,45.0,663.0,321.55457799680875
6849,140.0,70.0,17.0,0.19,12.0,0.4,33.0,610.0,46.0,400.0,232.68386784176946
6850,140.0,25.0,10.0,0.21,12.0,0.7,24.0,340.0,18.0,210.0,112.73291265970141
6851,140.0,55.0,1.2,0.3,7.4,0.28,4.5,290.0,16.0,150.0,147.62534127511373
6852,51.7,10.5,4.02,0.06,2.55,0.2,8.4,116.0,2.35,82.0,41.54543887917637
6853,38.0,8.6,36.0,0.13,0.25,5.9,60.0,355.0,44.0,220.0,30.382431948606953
6854,92.0,11.7,2.5,0.13,9.56,0.58,17.6,184.0,2.2,145.0,71.01791362526363
6855,160.0,84.0,79.0,0.16,23.0,4.0,61.0,960.0,160.0,520.0,309.3899928907204
6856,360.0,87.0,82.0,1.2,24.0,10.0,120.0,1200.0,110.0,690.0,331.04181218745146
6857,260.0,53.0,29.0,0.15,36.0,0.73,93.0,940.0,220.0,690.0,303.45654922854925
6858,390.0,81.0,82.0,0.11,16.0,0.84,50.0,520.0,84.0,520.0,270.4674080299699
6859,130.0,93.0,43.0,0.24,20.0,1.5,17.0,720.0,170.0,370.0,308.7370710073815
6860,160.0,66.0,31.0,0.32,11.0,4.1,26.0,530.0,38.0,330.0,216.01396153163503
6861,250.0,22.0,33.0,0.4,10.0,0.46,160.0,880.0,140.0,560.0,125.37870820179816
6862,130.0,23.0,7.22,0.466,13.0,6.97,17.7,350.0,14.9,260.0,121.74478901849781
6863,220.0,76.0,8.2,0.1,23.0,9.8,17.3,580.0,12.3,348.0,289.13515734543233
6864,130.0,58.0,56.0,0.277,13.1,0.05,43.9,600.0,78.6,380.0,200.21339400571648
6865,140.0,83.0,31.0,0.3,12.0,2.7,15.0,560.0,48.0,320.0,222.76556159951153
6866,89.0,18.0,34.0,0.23,14.0,2.1,20.0,300.0,6.8,260.0,102.41290553180153
6867,190.0,120.0,470.0,3.1,30.0,0.7,330.0,2400.0,270.0,1400.0,458.9166325063824
6868,248.0,70.3,23.0,0.11,22.5,0.82,13.3,480.0,6.02,230.0,261.69224499111994
6869,200.0,48.0,13.0,0.14,23.0,2.5,20.0,460.0,16.0,320.0,215.93337859626482
6870,96.0,12.0,10.0,1.3,1.5,3.0,46.0,270.0,11.0,170.0,33.946493903318895
6871,190.0,52.0,20.0,0.13,24.0,3.4,20.0,510.0,36.0,310.0,219.16290034465533
6872,220.0,80.0,160.0,0.17,22.0,4.86,99.0,1100.0,110.0,800.0,312.8584069569321
6873,150.0,49.0,35.0,0.1,15.0,4.7,13.0,400.0,23.0,280.0,202.2286511072261
6874,170.0,52.0,17.0,0.76,11.0,6.3,49.0,520.0,42.0,280.0,171.4346555187868
6875,150.0,58.0,10.0,0.55,9.4,1.9,10.0,410.0,22.0,250.0,178.71296431346428
6876,269.0,50.1,54.6,0.33,19.7,0.9,138.0,996.0,148.0,624.0,200.17956566669437
6877,130.0,61.0,71.0,0.22,4.1,1.3,27.0,490.0,12.0,360.0,161.50952697857701
6878,354.0,63.0,132.0,0.14,30.2,0.1,143.0,1107.0,4.0,598.0,296.60694275613275
6879,160.0,36.0,30.0,0.17,25.0,2.5,22.0,470.0,24.0,300.0,196.8133885066045
6880,192.0,45.0,17.0,0.27,8.1,0.7,22.0,420.0,12.0,230.0,150.57649152309682
6881,360.0,49.0,73.0,0.21,92.0,6.7,72.0,1200.0,88.0,640.0,482.90138989670464
6882,130.0,35.0,13.0,0.17,12.0,2.3,22.0,340.0,2.3,200.0,137.23567503330005
6883,59.0,11.0,11.2,0.13,3.9,1.73,13.5,160.0,8.2,160.0,49.222416371128865
6884,110.0,18.0,8.9,0.14,7.2,1.2,16.0,260.0,13.0,180.0,77.31688937312688
6885,120.0,20.0,82.0,0.8,6.5,0.56,79.0,580.0,16.0,350.0,182.60140267371517
6886,200.0,63.0,16.0,0.1,15.0,0.1,11.0,468.0,9.0,240.0,231.51973946608953
6887,44.5,9.26,1.7,0.082,1.1,0.25,9.9,99.0,4.39,75.0,31.4869874507845
6888,180.0,81.0,85.0,0.48,22.0,4.7,65.0,1000.0,120.0,520.0,295.90471382964256
6889,95.0,5.0,3.4,0.13,3.9,0.59,16.0,210.0,0.52,150.0,32.44895364635364
6890,70.0,25.0,31.0,0.21,9.4,5.0,17.0,320.0,12.0,235.0,106.82038874181374
6891,190.0,44.0,14.7,0.23,22.0,0.05,18.0,470.0,36.0,270.0,201.46882662021306
6892,170.0,40.0,4.6,0.2,13.0,0.7,26.0,410.0,37.0,240.0,156.32133350538356
6893,83.0,13.0,13.0,1.1,1.8,0.27,56.0,370.0,60.0,210.0,39.669557323232326
6894,170.0,66.0,32.0,0.24,22.0,8.0,35.0,660.0,130.0,450.0,267.78330760905754
6895,110.0,11.0,71.0,0.47,0.064,1.3,110.0,550.0,63.0,220.0,36.333494963369965
6896,130.0,37.0,11.3,0.11,10.9,7.3,25.9,454.0,21.3,250.0,165.7282352647353
6897,230.0,71.0,28.0,0.13,17.0,2.9,27.0,580.0,35.0,350.0,257.23239771339763
6898,140.0,83.0,67.0,0.47,16.0,0.9,36.0,620.0,130.0,380.0,266.16910261960254
6899,206.0,75.6,15.7,0.1,24.0,18.2,34.0,631.0,58.1,457.0,293.3478861915862
6900,187.0,102.0,91.1,0.48,18.1,0.48,42.9,576.0,49.9,450.0,276.34379500417873
6901,360.0,47.0,105.0,0.4,24.0,0.9,176.0,1080.0,71.6,650.0,230.26323816050612
6902,60.0,10.0,5.3,0.1,6.7,0.57,6.7,130.0,3.8,130.0,50.436979592629584
6903,340.0,37.0,203.0,0.42,27.0,2.0,270.0,1500.0,170.0,1000.0,230.30468763048066
6904,130.0,49.0,23.0,0.5,5.0,2.9,27.0,420.0,24.0,260.0,136.8232667721168
6905,190.0,70.0,74.0,0.15,23.0,2.9,37.0,700.0,40.0,430.0,271.80659965034965
6906,150.0,37.0,5.2,0.72,6.1,0.61,18.0,360.0,20.0,180.0,117.40069501854357
6907,146.0,44.0,22.0,0.7,11.0,0.2,33.0,440.0,39.0,314.0,158.121265068265
6908,24.0,5.2,3.4,0.16,4.2,0.56,9.7,110.0,0.39,140.0,31.051093589743584
6909,150.0,59.0,44.0,0.3,9.3,0.66,51.0,630.0,95.0,340.0,181.59940598265612
6910,95.0,57.0,35.0,0.05,1.3,2.474,40.0,505.0,45.0,320.0,116.06975882312138
6911,130.0,55.0,29.0,0.35,5.8,9.9,51.0,660.0,93.0,460.0,170.4272633225664
6912,180.0,78.0,90.0,0.24,14.6,2.5,66.0,860.0,100.0,560.0,258.46238367188363
6913,63.0,16.0,11.0,0.11,0.43,0.77,25.0,194.0,12.0,120.0,44.064782831057826
6914,110.0,63.0,41.0,0.21,9.3,2.7,21.0,460.0,48.0,270.0,194.19495118554653
6915,110.0,20.0,8.2,0.14,13.0,4.0,18.0,280.0,10.0,210.0,106.1774592976631
6916,110.0,47.0,73.0,0.45,7.0,5.0,53.0,530.0,18.0,320.0,145.96978212343217
6917,110.0,43.0,26.0,0.73,7.0,2.3,53.0,497.0,51.0,320.0,131.56088347763344
6918,64.6,34.0,62.0,0.1,7.6,5.3,19.0,400.0,10.9,270.0,116.64609872627378
6919,320.0,160.0,250.0,0.51,68.0,1.4,150.0,1760.0,320.0,1200.0,646.8029918127623
6920,210.0,27.0,38.0,0.57,3.4,2.7,120.0,680.0,47.0,490.0,97.51117469474974
6921,210.0,51.0,86.0,0.49,22.0,0.66,71.0,800.0,56.0,440.0,222.58040243003717
6922,210.0,53.05,78.4,0.17,27.0,0.5,70.99,1010.0,76.4,444.0,257.94845661796535
6923,23.0,85.0,200.0,0.054,0.3,6.3,250.0,1520.0,380.0,1100.0,295.03343670218675
6924,200.0,62.0,50.0,0.2,18.0,3.1,24.0,530.0,46.0,390.0,228.56898989898988
6925,230.0,36.0,21.0,0.16,35.0,3.3,26.0,570.0,17.0,280.0,234.78849048704072
6926,400.0,74.6,130.0,0.26,42.1,0.42,96.0,1300.0,65.0,660.0,375.7849112577423
6927,190.0,66.0,38.0,0.31,15.0,1.1,24.8,550.0,27.9,370.0,225.02882381507376
6928,150.0,47.8,8.1,0.19,7.3,5.8,16.0,360.0,11.0,240.0,150.19863515928517
6929,67.0,15.0,3.8,0.28,3.1,0.49,14.0,205.0,11.0,110.0,52.620527580752565
6930,213.0,105.0,111.0,0.24,28.9,1.71,75.8,1080.0,149.0,704.0,383.62332326562336
6931,158.0,56.0,47.0,0.4,25.0,2.2,57.0,743.0,141.0,510.0,246.83052628560324
6932,170.0,52.0,67.0,0.11,57.0,21.0,28.0,830.0,41.0,540.0,366.925511874792
6933,170.0,35.0,17.0,0.11,22.0,5.4,28.0,460.0,13.0,280.0,180.9843595848596
6934,86.0,33.0,42.0,0.26,15.0,4.3,19.0,380.0,45.0,360.0,151.45536868686872
6935,130.0,42.0,1.2,0.3,11.0,0.32,6.9,340.0,23.0,190.0,151.2297047952048
6936,260.0,26.0,46.0,0.47,13.0,1.7,140.0,830.0,140.0,530.0,133.18057010767015
6937,240.0,100.0,83.0,0.14,23.0,4.3,70.0,980.0,110.0,660.0,349.0214368131869
6938,128.0,68.0,53.0,0.33,15.0,2.7,52.0,760.0,120.0,504.0,238.6687248584749
6939,53.0,21.0,28.0,0.1,2.0,0.4,146.0,844.0,282.0,587.0,81.56627565656567
6940,120.0,20.0,9.2,0.15,5.8,0.9,31.0,290.0,10.0,200.0,78.73635082278834
6941,66.0,14.0,15.0,0.27,4.7,2.0,22.0,210.0,3.4,180.0,56.07060551115552
